ID,Easting,Northing,Altitude,Retro,Angle,Distance,UTC,Long,Lat
16208823,754988.74,3741747.437,302.111,0.78,0.44871000000000005,14.467,62422.2745,-84.246144135,33.785186223000004
16208824,754988.738,3741747.42,301.955,0.788,0.43843000000000004,14.415999999999999,62422.274529999995,-84.246144161,33.785186075
16208825,754988.737,3741747.408,301.798,0.788,0.42813999999999997,14.363,62422.274560000005,-84.246144179,33.78518596
16208826,754988.735,3741747.394,301.643,0.796,0.41786,14.312999999999999,62422.2746,-84.246144199,33.785185835
16208827,754988.731,3741747.364,301.496,0.792,0.40757,14.283,62422.27462999999,-84.246144254,33.785185564
16208828,754988.729,3741747.349,301.343,0.82,0.39729000000000003,14.238,62422.27466,-84.246144277,33.785185431
16208829,754988.727,3741747.33,301.193,0.82,0.38700999999999997,14.199000000000002,62422.27469,-84.246144308,33.785185264
16208830,754988.725,3741747.317,301.042,0.82,0.37672,14.155999999999999,62422.27473,-84.246144327,33.785185143
16208831,754988.723,3741747.297,300.894,0.804,0.36644,14.122,62422.27476,-84.24614436,33.785184964
16208832,754988.723,3741747.29,300.741,0.808,0.35616,14.075,62422.274789999996,-84.246144364,33.785184908000005
16208833,754988.723,3741747.288,300.589,0.8,0.34586999999999996,14.027000000000001,62422.274820000006,-84.246144361,33.785184885
16208834,754988.718,3741747.255,300.447,0.812,0.33559,14.012,62422.274860000005,-84.246144422,33.785184589
16208835,754988.719,3741747.253,300.297,0.808,0.3253,13.966,62422.27489,-84.246144417,33.785184569
16208836,754988.718,3741747.247,300.148,0.816,0.31501999999999997,13.925999999999998,62422.27492,-84.246144421,33.785184514
16208837,754988.714,3741747.216,300.007,0.824,0.30474,13.914000000000001,62422.27496,-84.246144478,33.785184235
16208937,754988.902,3741747.668,304.24,0.757,0.5926,15.025,62422.28736,-84.246142318,33.785188263
16208938,754988.901,3741747.656,304.063,0.757,0.58231,14.937999999999999,62422.28739,-84.24614233300001,33.785188159
16208939,754988.901,3741747.653,303.884,0.761,0.57202,14.844000000000001,62422.28742000001,-84.24614233,33.785188128
16208940,754988.893,3741747.599,303.737,0.769,0.56174,14.812000000000001,62422.28746,-84.246142435,33.785187649
