Sign_Id,Easting,Northing,Altitude,Retro,Long,Lat,Num_of_Points
51,756425.9223862662,3737960.5294377664,305.0276394849787,0.7774635193133044,-84.23173656846352,33.7507238299914,233
52,756425.9531686277,3737960.402223529,303.1423725490197,0.7880666666666674,-84.2317362734627,33.75072267658432,255
53,756425.3878965518,3737958.6907241377,302.3708965517241,0.7683103448275862,-84.23174286517241,33.750707394172416,29
54,756427.3844838713,3737960.532991935,303.47065322580653,0.7424999999999997,-84.23172079879842,33.750723507806455,124
55,756427.4428181818,3737960.462530303,302.49537878787874,0.7592121212121213,-84.23172019125762,33.75072285980303,66
56,756493.2237727273,3737471.7719318178,306.52845454545445,0.8299090909090907,-84.23115237672727,33.74630445902273,44
57,756497.0227577642,3737480.06878882,313.97317391304335,0.7648633540372676,-84.23110900510564,33.74637828316148,161
58,756497.1800107526,3737479.9085537638,312.09022043010776,0.7858440860215056,-84.23110735613442,33.746376801365585,186
59,756497.1444382714,3737479.7296790127,310.40019135802464,0.8042962962962973,-84.23110779085799,33.7463751985494,162
60,756498.5134545454,3737480.1676363638,312.7651212121212,0.7390151515151514,-84.23109290107574,33.746378811924245,66
61,756498.973071066,3737480.0664010155,310.95056345177676,0.7451015228426394,-84.23108797369541,33.74637778947717,197
62,756498.8525000002,3737479.9455263135,309.9042105263157,0.7629078947368423,-84.23108930860529,33.74637672973684,76
63,756496.1595238094,3737444.616142858,305.7591904761905,0.7653809523809524,-84.23112858671428,33.746059108809526,21
64,756502.3520238096,3737392.617976191,306.837738095238,0.8035714285714287,-84.23107687190475,33.74558917211905,42
65,756528.1040312498,3737197.6246250006,302.57648437500006,0.7845781249999999,-84.23085566348435,33.74382629723437,64
66,756529.6755272726,3737197.8611999983,302.00823636363646,0.7929090909090907,-84.23083864883634,33.74382804759998,55
67,756531.1602000002,3737198.0049250005,302.21494999999993,0.8006749999999998,-84.23082259712501,33.743828983949996,40
68,756549.9711666666,3737060.825916665,298.4474166666668,0.81875,-84.23065949329168,33.74258862258333,24
69,756544.5500363634,3736947.468236364,297.20570909090907,0.770218181818182,-84.2307507953818,33.741568724527276,55
70,756544.5597999998,3736947.4607555554,295.4857333333333,0.7578888888888888,-84.23075069191113,33.741568654977776,45
71,756545.7433421054,3736947.4607105255,294.80097368421053,0.7691315789473684,-84.2307379293158,33.741568367157896,38
72,756546.70036,3736947.45088,297.1350933333333,0.7696000000000002,-84.23072761186666,33.74156804805333,75
73,756547.0279302325,3736947.456395348,295.5449302325582,0.7881162790697677,-84.23072407751164,33.741568018209314,43
74,756546.6292743366,3736740.7920353985,294.267575221239,0.8264690265486723,-84.23078824976109,33.73970633037169,113
75,756546.6139294116,3736740.600894117,292.65110588235297,0.8341176470588243,-84.23078847107061,33.7397046123647,85
76,756548.515962617,3736740.646439252,293.9555327102803,0.8367383177570096,-84.23076794754208,33.73970456198131,107
77,756548.522453608,3736740.4751030924,292.5297010309279,0.8449896907216493,-84.23076792696908,33.7397030172268,97
78,756550.3500580646,3736740.524458063,293.4796322580645,0.8292709677419352,-84.23074820551614,33.73970301926452,155
79,756550.3100980393,3736740.377647059,292.2602745098039,0.841372549019608,-84.2307486788431,33.73970170609803,51
80,756539.7888607593,3736643.9145316435,286.7278354430381,0.8006582278481011,-84.23089007487341,33.73883524230381,79
81,756532.7725945944,3736613.697756757,286.658027027027,0.7643513513513511,-84.23097448497298,33.73856472424325,37
82,756523.8415227273,3736567.1499772724,287.8717045454545,0.761159090909091,-84.23108427111363,33.73814754902273,44
83,756541.552840909,3736471.497909091,285.70295454545453,0.7437727272727274,-84.2309209976818,33.73728155925,44
84,756524.2338536584,3736225.46692683,280.9752195121951,0.8048048780487803,-84.23117900051218,33.7350693202439,41
