pic_id,easting,northing,altitude,long,lat
4975,754358.863,3746995.605,321.7,-84.25142731,33.8326175
4976,754356.97,3746990.971,321.635,-84.25144909,33.83257621
4977,754355.066,3746986.372,321.534,-84.25147097,33.83253523
4978,754353.275,3746981.738,321.434,-84.25149164,33.83249392
4979,754351.436,3746977.041,321.4,-84.25151285,33.83245205
4980,754349.636,3746972.448,321.332,-84.2515336,33.8324111
4981,754347.898,3746967.811,321.231,-84.2515537,33.83236975
4982,754346.162,3746963.117,321.131,-84.2515738,33.83232788
4983,754344.532,3746958.425,321.1,-84.25159274,33.832286
4984,754342.825,3746953.685,321.029,-84.25161254,33.83224371
4985,754341.191,3746948.97,320.928,-84.25163154,33.83220163
4986,754339.594,3746944.233,320.826,-84.25165014,33.83215934
4987,754337.997,3746939.496,320.725,-84.25166875,33.83211705
4988,754336.388,3746934.877,320.7,-84.25168745,33.83207583
4989,754334.782,3746930.159,320.621,-84.25170615,33.83203371
4990,754333.177,3746925.399,320.519,-84.25172485,33.83199121
4991,754331.564,3746920.615,320.5,-84.25174364,33.8319485
4992,754330.091,3746915.858,320.415,-84.25176092,33.831906
4993,754328.508,3746911.098,320.313,-84.25177938,33.8318635
4994,754327.041,3746906.341,320.21,-84.25179659,33.831821
4995,754325.593,3746901.584,320.2,-84.25181359,33.8317785
4996,754324.145,3746896.828,320.107,-84.25183059,33.831736
4997,754322.839,3746892.053,320.004,-84.25184607,33.8316933
4998,754321.398,3746887.297,319.902,-84.251863,33.8316508
4999,754320.097,3746882.522,319.899,-84.25187842,33.83160809
5000,754318.647,3746877.742,319.797,-84.25189545,33.83156538
5001,754317.35,3746872.966,319.7,-84.25191083,33.83152267
5002,754316.054,3746868.176,319.692,-84.2519262,33.83147983
5003,754314.756,3746863.207,319.589,-84.25194165,33.83143538
5004,754313.458,3746858.432,319.5,-84.25195703,33.83139267
5005,754312.155,3746853.633,319.483,-84.25197248,33.83134975
5006,754310.859,3746848.858,319.381,-84.25198785,33.83130705
5007,754309.562,3746844.083,319.279,-84.25200323,33.83126434
5008,754308.304,3746839.264,319.176,-84.2520182,33.83122123
5009,754307.169,3746834.351,319.073,-84.25203187,33.83117725
5010,754305.987,3746829.526,319,-84.25204602,33.83113406
5011,754304.748,3746824.644,318.969,-84.2520608,33.83109038
5012,754303.617,3746819.835,318.867,-84.2520744,33.83104733
5013,754302.487,3746814.963,318.765,-84.252088,33.83100371
5014,754301.418,3746810.172,318.663,-84.25210093,33.83096081
5015,754300.394,3746805.263,318.562,-84.2521134,33.83091683
5016,754299.332,3746800.353,318.5,-84.25212628,33.83087285
5017,754298.364,3746795.52,318.459,-84.25213812,33.83082955
5018,754297.324,3746790.695,318.357,-84.25215074,33.83078633
5019,754296.27,3746785.785,318.3,-84.25216353,33.83074235
5020,754295.372,3746780.855,318.253,-84.25217465,33.83069815
5021,754294.488,3746775.948,318.2,-84.2521856,33.83065416
5022,754293.518,3746771.016,318.15,-84.2521975,33.83060996
5023,754292.627,3746766.086,318.1,-84.25220854,33.83056576
5024,754291.735,3746761.18,318.046,-84.25221958,33.83052178
5025,754290.851,3746756.25,318,-84.25223055,33.83047758
5026,754290.035,3746751.428,317.943,-84.25224075,33.83043434
5027,754289.132,3746746.6,317.9,-84.25225189,33.83039106
5028,754288.26,3746741.695,317.9,-84.25226272,33.83034708
5029,754287.453,3746736.676,317.838,-84.25227287,33.83030206
5030,754286.646,3746731.703,317.8,-84.25228302,33.83025745
5031,754285.941,3746726.825,317.8,-84.25229204,33.83021368
5032,754285.291,3746721.949,317.735,-84.25230046,33.83016991
5033,754284.546,3746716.973,317.7,-84.25230994,33.83012526
5034,754283.846,3746712.033,317.7,-84.25231892,33.83008093
5035,754283.2,3746707.182,317.632,-84.25232729,33.83003738
5036,754282.661,3746702.208,317.6,-84.25233454,33.8299927
5037,754282.066,3746697.298,317.6,-84.25234238,33.82994861
5038,754281.53,3746692.322,317.6,-84.2523496,33.82990391
5039,754281.041,3746687.418,317.6,-84.2523563,33.82985985
5040,754280.55,3746682.415,317.529,-84.25236304,33.8298149
5041,754280.058,3746677.49,317.5,-84.25236977,33.82977065
5042,754279.568,3746672.484,317.5,-84.2523765,33.82972567
5043,754279.073,3746667.538,317.5,-84.25238327,33.82968123
5044,754278.581,3746662.503,317.5,-84.25239004,33.82963599
5045,754278.205,3746657.566,317.5,-84.25239552,33.8295916
5046,754277.745,3746652.67,317.5,-84.2524019,33.82954761
5047,754277.374,3746647.605,317.42,-84.25240736,33.82950207
5048,754276.909,3746642.674,317.4,-84.2524138,33.82945776
5049,754276.541,3746637.758,317.4,-84.2524192,33.82941356
5050,754276.204,3746632.684,317.4,-84.2524243,33.82936793
5051,754275.863,3746627.743,317.4,-84.2524294,33.8293235
5052,754275.522,3746622.828,317.4,-84.2524345,33.8292793
5053,754275.326,3746617.721,317.4,-84.25243809,33.82923334
5054,754274.995,3746612.768,317.4,-84.25244309,33.8291888
5055,754274.653,3746607.828,317.4,-84.25244821,33.82914438
5056,754274.463,3746602.869,317.4,-84.25245169,33.82909975
5057,754274.123,3746597.905,317.4,-84.25245679,33.82905511
5058,754273.938,3746592.933,317.4,-84.25246022,33.82901037
5059,754273.756,3746587.777,317.4,-84.25246367,33.82896396
6490,756267.078,3740022.305,288.826,-84.2328524,33.76933623
6491,756268.254,3740017.564,288.934,-84.23284109,33.76929323
6492,756269.487,3740012.725,289,-84.23282919,33.76924934
6493,756270.614,3740007.873,289.049,-84.23281844,33.76920536
6494,756271.738,3740003.13,289.157,-84.23280769,33.76916236
6495,756272.862,3739998.387,289.264,-84.23279694,33.76911936
6496,756273.879,3739993.509,289.372,-84.23278738,33.76907517
6497,756274.956,3739988.735,289.4,-84.23277715,33.7690319
6498,756275.951,3739983.829,289.486,-84.23276784,33.76898746
6499,756277.053,3739978.91,289.593,-84.23275737,33.76894288
6500,756278.028,3739973.965,289.701,-84.23274829,33.7688981
6501,756278.981,3739969.226,289.8,-84.23273938,33.76885517
6502,756279.941,3739964.303,289.814,-84.23273046,33.76881059
6503,756280.9,3739959.379,289.921,-84.23272154,33.768766
6504,756281.814,3739954.455,290.029,-84.2327131,33.76872142
6505,756282.663,3739949.529,290.136,-84.23270538,33.76867684
6506,756283.553,3739944.627,290.242,-84.2326972,33.76863246
6507,756284.422,3739939.702,290.3,-84.23268925,33.76858788
6508,756285.291,3739934.799,290.356,-84.2326813,33.7685435
6509,756286.081,3739929.895,290.462,-84.2326742,33.76849913
6510,756286.871,3739924.99,290.569,-84.2326671,33.76845475
6511,756287.661,3739920.086,290.675,-84.23266,33.76841038
6512,756288.451,3739915.18,290.7,-84.2326529,33.768366
